Customer_placed_order_datetime,Placed_order_with_restaurant_datetime,Driver_at_restaurant_datetime,Delivered_to_consumer_datetime,Driver_ID,Restaurant_ID,Consumer_ID,Is_New,Delivery_Region,Is_ASAP,Order_total,Amount_of_discount,Amount_of_tip,Refunded_amount
14 20:27:45,14 20:29:41,14 20:39:32,14 20:52:03,86,12,5,FALSE,Palo Alto,TRUE,20.45,20.45,3.07,0
07 20:16:28,07 20:17:32,07 20:36:00,07 20:49:02,325,66,5,FALSE,Palo Alto,TRUE,40.62,40.62,3.73,0
13 19:35:09,13 19:39:26,13 20:28:16,13 20:52:44,200,124,5,FALSE,Palo Alto,TRUE,37.78,37.78,1.89,0
22 19:47:53,22 19:56:08,22 20:01:20,22 20:18:01,154,5,14,FALSE,Palo Alto,TRUE,39.66,0,1.98,0
03 19:01:52,03 19:09:08,03 19:36:20,03 19:45:26,332,9,14,FALSE,Palo Alto,TRUE,39.66,0,5.95,0
09 01:38:55,09 01:39:48,,09 02:13:51,259,9,14,FALSE,Palo Alto,TRUE,42.98,0,4.3,0
18 01:28:46,18 01:29:40,18 01:51:16,18 02:08:40,246,20,14,FALSE,Palo Alto,TRUE,57.92,0,4.77,0
02 02:13:30,02 02:21:03,02 02:28:26,02 03:17:48,29,53,14,FALSE,Palo Alto,TRUE,52.71,0,4.29,0
07 00:50:25,07 01:40:12,07 02:01:49,07 02:19:06,248,53,14,FALSE,Palo Alto,FALSE,59.78,0,4.94,0
22 01:03:53,22 01:22:21,,22 01:49:26,242,104,14,FALSE,Palo Alto,TRUE,81.47,0,6.94,0
02 17:14:25,02 17:20:33,02 18:35:25,02 18:47:56,69,312,14,FALSE,Palo Alto,FALSE,31.89,0,3.56,0
04 18:02:16,04 18:04:31,04 18:28:10,04 18:56:03,99,312,14,FALSE,Palo Alto,TRUE,27.8,0,3,0
16 18:15:52,16 18:16:43,16 18:53:21,16 19:37:36,377,312,14,FALSE,Palo Alto,TRUE,22.9,0,4,0
25 03:57:49,25 03:58:53,25 04:05:33,25 04:48:35,320,5,15,FALSE,Palo Alto,TRUE,33.08,0,1.65,0
22 03:34:44,22 03:35:03,22 03:42:16,22 04:19:23,305,20,15,FALSE,Palo Alto,TRUE,20.08,0,0.64,0
03 02:31:03,03 02:31:15,03 02:44:58,03 03:05:16,60,68,15,TRUE,Palo Alto,TRUE,49.88,0,2.01,0
12 20:37:16,12 20:38:57,,12 21:11:51,156,86,15,TRUE,Palo Alto,TRUE,25.68,0,0.9,0
26 04:17:28,26 04:27:11,,26 04:51:38,383,220,15,FALSE,Palo Alto,TRUE,31.5,0,1.17,0
07 03:05:56,07 03:07:09,07 03:22:04,07 03:37:09,330,232,15,TRUE,Palo Alto,TRUE,64.18,0,2.67,0
14 19:25:23,14 19:26:24,14 20:02:26,14 20:34:52,299,312,15,FALSE,Palo Alto,TRUE,43.33,0,1.71,0
10 18:56:31,10 18:57:11,10 19:19:02,10 19:50:40,324,8,21,FALSE,Palo Alto,TRUE,36.4,0,1.82,0
17 00:27:09,17 00:27:45,17 00:50:05,17 01:26:13,92,8,21,TRUE,Palo Alto,TRUE,18.51,0,0.93,0
26 19:59:15,26 20:04:44,,26 20:40:52,48,8,21,FALSE,Palo Alto,TRUE,18.51,0,0.93,0
14 00:10:43,14 00:11:49,14 00:19:32,14 00:57:40,195,9,21,FALSE,Palo Alto,TRUE,41.89,0,2.09,0
11 03:08:07,11 03:08:26,11 03:18:35,11 03:35:32,307,63,21,FALSE,Palo Alto,TRUE,74.35,0,3.72,0
30 04:02:36,30 04:03:50,30 04:11:11,30 04:50:21,321,104,25,FALSE,Palo Alto,TRUE,38.52,0,1.49,0
10 02:58:16,10 03:00:50,10 03:52:09,10 04:08:15,56,27,26,TRUE,Palo Alto,TRUE,23.89,0,1.19,0
21 02:12:21,21 02:25:40,21 02:33:17,21 02:55:40,144,27,26,FALSE,Palo Alto,TRUE,23.89,0,1.19,0
13 00:46:20,13 00:46:49,13 01:24:51,13 01:49:53,90,63,31,FALSE,Palo Alto,TRUE,186.22,0,16.02,0
27 01:28:48,27 01:31:02,,27 02:25:13,87,68,31,FALSE,Palo Alto,TRUE,57.44,0,4.73,0
01 00:46:06,01 00:53:51,01 01:20:05,01 01:42:07,320,8,32,FALSE,Palo Alto,TRUE,40.8,0,6.12,0
23 20:41:48,23 20:42:32,23 20:52:10,23 21:11:21,319,8,32,FALSE,Palo Alto,TRUE,27.75,0,4.16,0
25 19:34:07,25 19:34:49,25 19:47:17,25 20:03:24,412,8,32,FALSE,Palo Alto,TRUE,18.51,0,7,0
12 20:50:54,12 20:58:29,12 21:08:33,12 21:35:54,48,9,32,TRUE,Palo Alto,TRUE,35.91,0,5.39,0
15 01:29:10,15 01:31:50,,15 02:12:02,321,9,32,TRUE,Palo Alto,TRUE,43.52,0,7,0
10 01:58:37,10 01:59:09,10 02:11:29,10 02:31:27,314,53,32,FALSE,Palo Alto,TRUE,41.83,0,8,0
01 23:49:35,01 23:52:17,02 00:26:55,02 00:49:32,56,27,34,FALSE,Palo Alto,FALSE,34.66,0,3.95,0
07 22:54:17,07 23:59:09,08 00:33:48,08 00:58:02,79,27,34,FALSE,Palo Alto,FALSE,34.66,0,3.95,0
