,Customer_placed_order_datetime,Placed_order_with_restaurant_datetime,Driver_at_restaurant_datetime,Delivered_to_consumer_datetime,Driver_ID,Restaurant_ID,Consumer_ID,Is_New,Delivery_Region,Is_ASAP,Order_total,Amount_of_discount,Amount_of_tip,Refunded_amount,Total_time_elapsed
0,14 20:27:45,14 20:29:41,14 20:39:32,14 20:52:03,86,12,5,FALSE,Palo Alto,TRUE,20.45,20.45,3.07,0,0 days 00:24:18.000000000
1,07 20:16:28,07 20:17:32,07 20:36:00,07 20:49:02,325,66,5,FALSE,Palo Alto,TRUE,40.62,40.62,3.73,0,0 days 00:32:34.000000000
2,13 19:35:09,13 19:39:26,13 20:28:16,13 20:52:44,200,124,5,FALSE,Palo Alto,TRUE,37.78,37.78,1.89,0,0 days 01:17:35.000000000
3,22 19:47:53,22 19:56:08,22 20:01:20,22 20:18:01,154,5,14,FALSE,Palo Alto,TRUE,39.66,0,1.98,0,0 days 00:30:08.000000000
4,03 19:01:52,03 19:09:08,03 19:36:20,03 19:45:26,332,9,14,FALSE,Palo Alto,TRUE,39.66,0,5.95,0,0 days 00:43:34.000000000
5,09 01:38:55,09 01:39:48,,09 02:13:51,259,9,14,FALSE,Palo Alto,TRUE,42.98,0,4.3,0,0 days 00:34:56.000000000
6,18 01:28:46,18 01:29:40,18 01:51:16,18 02:08:40,246,20,14,FALSE,Palo Alto,TRUE,57.92,0,4.77,0,0 days 00:39:54.000000000
7,02 02:13:30,02 02:21:03,02 02:28:26,02 03:17:48,29,53,14,FALSE,Palo Alto,TRUE,52.71,0,4.29,0,0 days 01:04:18.000000000
8,07 00:50:25,07 01:40:12,07 02:01:49,07 02:19:06,248,53,14,FALSE,Palo Alto,FALSE,59.78,0,4.94,0,0 days 01:28:41.000000000
9,22 01:03:53,22 01:22:21,,22 01:49:26,242,104,14,FALSE,Palo Alto,TRUE,81.47,0,6.94,0,0 days 00:45:33.000000000
10,02 17:14:25,02 17:20:33,02 18:35:25,02 18:47:56,69,312,14,FALSE,Palo Alto,FALSE,31.89,0,3.56,0,0 days 01:33:31.000000000
11,04 18:02:16,04 18:04:31,04 18:28:10,04 18:56:03,99,312,14,FALSE,Palo Alto,TRUE,27.8,0,3,0,0 days 00:53:47.000000000
12,16 18:15:52,16 18:16:43,16 18:53:21,16 19:37:36,377,312,14,FALSE,Palo Alto,TRUE,22.9,0,4,0,0 days 01:21:44.000000000
13,25 03:57:49,25 03:58:53,25 04:05:33,25 04:48:35,320,5,15,FALSE,Palo Alto,TRUE,33.08,0,1.65,0,0 days 00:50:46.000000000
14,22 03:34:44,22 03:35:03,22 03:42:16,22 04:19:23,305,20,15,FALSE,Palo Alto,TRUE,20.08,0,0.64,0,0 days 00:44:39.000000000
15,03 02:31:03,03 02:31:15,03 02:44:58,03 03:05:16,60,68,15,TRUE,Palo Alto,TRUE,49.88,0,2.01,0,0 days 00:34:13.000000000
16,12 20:37:16,12 20:38:57,,12 21:11:51,156,86,15,TRUE,Palo Alto,TRUE,25.68,0,0.9,0,0 days 00:34:35.000000000
17,26 04:17:28,26 04:27:11,,26 04:51:38,383,220,15,FALSE,Palo Alto,TRUE,31.5,0,1.17,0,0 days 00:34:10.000000000
18,07 03:05:56,07 03:07:09,07 03:22:04,07 03:37:09,330,232,15,TRUE,Palo Alto,TRUE,64.18,0,2.67,0,0 days 00:31:13.000000000
